,,,------------REGISTERED VOTERS------------,,,,-------------DEMOCRATS--------------,,,,---------------REPUBLICANS---------------,,,,---------------OTHER PARTIES--------------,,,
,,,TOTAL,WHITE,BLACK,OTHER,TOTAL,WHITE,BLACK,OTHER,TOTAL,WHITE,BLACK,OTHER,TOTAL,WHITE,BLACK,OTHER
,STATE,,,,,,,,,,,,,,,,,
,STATE ,,3093004,1952584,965365,175055,1262597,467831,742391,52375,1013581,950549,22496,40536,816826,534204,200478,82144
,# VOTING,,2169401,1454067,609079,106255,874125,337053,504308,32764,817444,776768,11533,29143,477832,340246,93238,44348
,% VOTING,,70.14,74.47,63.09,60.70,69.23,72.05,67.93,62.56,80.65,81.72,51.27,71.89,58.50,63.69,46.51,53.99
,PAR 01,,40278,32370,7132,776,15311,9898,5242,171,15242,14753,232,257,9725,7719,1658,348
,# VOTING,,28711,24075,4141,495,10357,6878,3376,103,12820,12504,114,202,5534,4693,651,190
,% VOTING,,71.28,74.37,58.06,63.79,67.64,69.49,64.40,60.23,84.11,84.76,49.14,78.60,56.90,60.80,39.26,54.60
,PAR 02,,13992,10787,2579,626,5764,3546,2009,209,4796,4583,63,150,3432,2658,507,267
,# VOTING,,9915,7876,1674,365,3990,2461,1401,128,3969,3824,34,111,1956,1591,239,126
,% VOTING,,70.86,73.01,64.91,58.31,69.22,69.40,69.74,61.24,82.76,83.44,53.97,74.00,56.99,59.86,47.14,47.19
,PAR 03,,82899,59159,19264,4476,28212,12212,14903,1097,32006,30323,430,1253,22681,16624,3931,2126
,# VOTING,,62879,45784,14168,2927,21358,9024,11585,749,26830,25582,268,980,14691,11178,2315,1198
,% VOTING,,75.85,77.39,73.55,65.39,75.71,73.89,77.74,68.28,83.83,84.37,62.33,78.21,64.77,67.24,58.89,56.35
,PAR 04,,15257,10179,4840,238,8308,4154,4082,72,3857,3690,117,50,3092,2335,641,116
,# VOTING,,11400,7884,3382,134,6186,3166,2987,33,3239,3135,68,36,1975,1583,327,65
,% VOTING,,74.72,77.45,69.88,56.30,74.46,76.22,73.17,45.83,83.98,84.96,58.12,72.00,63.87,67.79,51.01,56.03
,PAR 05,,24722,17336,6742,644,11879,6393,5239,247,7004,6696,186,122,5839,4247,1317,275
,# VOTING,,17601,12960,4244,397,8236,4563,3524,149,5863,5659,104,100,3502,2738,616,148
,% VOTING,,71.20,74.76,62.95,61.65,69.33,71.37,67.26,60.32,83.71,84.51,55.91,81.97,59.98,64.47,46.77,53.82
,PAR 06,,23419,19627,2569,1223,5928,3889,1809,230,10394,9875,98,421,7097,5863,662,572
,# VOTING,,16447,14258,1488,701,3959,2673,1179,107,8422,8059,56,307,4066,3526,253,287
,% VOTING,,70.23,72.64,57.92,57.32,66.78,68.73,65.17,46.52,81.03,81.61,57.14,72.92,57.29,60.14,38.22,50.17
,PAR 07,,9277,5081,4107,89,4613,1130,3461,22,2925,2815,79,31,1739,1136,567,36
,# VOTING,,7187,4110,3030,47,3553,873,2671,9,2513,2438,53,22,1121,799,306,16
,% VOTING,,77.47,80.89,73.78,52.81,77.02,77.26,77.17,40.91,85.91,86.61,67.09,70.97,64.46,70.33,53.97,44.44
,PAR 08,,76854,56106,16296,4452,20620,7743,11845,1032,35137,33351,441,1345,21097,15012,4010,2075
,# VOTING,,55015,41897,10397,2721,14204,5442,8137,625,28211,27000,255,956,12600,9455,2005,1140
,% VOTING,,71.58,74.67,63.80,61.12,68.88,70.28,68.70,60.56,80.29,80.96,57.82,71.08,59.72,62.98,50.00,54.94
,PAR 09,,164423,80332,76482,7609,77373,15648,59331,2394,46542,43335,1537,1670,40508,21349,15614,3545
,# VOTING,,106414,56773,45399,4242,50297,10723,38164,1410,35238,33402,707,1129,20879,12648,6528,1703
,% VOTING,,64.72,70.67,59.36,55.75,65.01,68.53,64.32,58.90,75.71,77.08,46.00,67.60,51.54,59.24,41.81,48.04
,PAR 10,,130647,92500,32337,5810,48724,22797,24262,1665,44902,42746,874,1282,37021,26957,7201,2863
