"","Region bias [1, 1]","Region bias [2, 1]","Region bias [1, 2]","Region bias [2, 2]","Individual bias [1, 1]","Individual bias [2, 1]","Individual bias [1, 2]","Individual bias [2, 2]","Region deviation [1, 1]","Region deviation [2, 1]","Region deviation [1, 2]","Region deviation [2, 2]","Individual deviation [1, 1]","Individual deviation [2, 1]","Individual deviation [1, 2]","Individual deviation [2, 2]","Bounds size [1, 1]","Bounds size [2, 1]","Bounds size [1, 2]","Bounds size [2, 2]","True in bounds [1, 1]","True in bounds [2, 1]","True in bounds [1, 2]","True in bounds [2, 2]","Execution time","EI","EPW","EQ","Iterations","Burned","Chains","Thinning","BUGS"
"logit covariate, random covariate",-0.0266483054621126,0.0266941779565879,0.0266483054621127,-0.0266941779565879,-0.0176152962082168,0.0223391590089196,0.0176152962082168,-0.0223391590089196,0.0886997621787847,0.01123071705101,0.0886997621787847,0.01123071705101,0.10194466505629,0.00769288139127316,0.10194466505629,0.00769288139127317,0.00301544779482218,0.000128427293526134,0.00301544779482216,0.000128427293526154,0.015625,0,0.015625,0,26.11,5.29681005348394,5.29681005348394,1.95794123703503,2000,30000,4,10,"JAGS"
"logit covariate, single covariate",-0.00293410196402977,0.013764924489504,0.00293410196402976,-0.0137649244895039,-0.013321740142962,0.0176496583742468,0.0133217401429619,-0.0176496583742468,0.0954419454640055,0.037214387419223,0.0954419454640055,0.0372143874192229,0.0977981016704981,0.0196106606024226,0.0977981016704981,0.0196106606024226,0.00327513566366072,0.000668879302225645,0.00327513566366061,0.000668879302225684,0.015625,0,0.015625,0,29.22,5.1008571114883,5.1008571114883,1.80213978259962,2000,30000,4,10,"JAGS"
"logit covariate, multiple covariate",5.33108854044746e-06,0.00881328018602546,-5.33108854043531e-06,-0.00881328018602546,-0.00461563414107396,0.00371664738876864,0.00461563414107395,-0.00371664738876865,0.102771030414769,0.0646049767004864,0.102771030414769,0.0646049767004864,0.0887217706839399,0.0573357002544584,0.0887217706839399,0.0573357002544584,0.00616344095173135,9.92923934073353e-07,0.00616344095173138,9.9292393410857e-07,0,0.015625,0,0.015625,73.38,5.60664795318701,5.60664795318701,1.52767653268393,2000,30000,4,10,"JAGS"
"logit covariate + randomness, random covariate",-0.00153394595127571,0.0101295366476545,0.0015339459512757,-0.0101295366476544,-0.0018844042627709,0.00627833271155272,0.00188440426277089,-0.00627833271155272,0.0056625788920374,0.0116310326532277,0.00566257889203739,0.0116310326532277,0.00553339455806171,0.00979256262581227,0.00553339455806171,0.00979256262581225,0.0934713296110317,0.201398327308923,0.0934713296110317,0.201398327308923,1,1,1,1,138.87,0.592463196884593,0.592463196884593,0.164917058668924,2000,50000,4,10,"JAGS"
"logit covariate + randomness, single covariate",-0.00291046048013936,0.016014080815424,0.00291046048013935,-0.016014080815424,-0.00173914874760928,0.00668642179996346,0.00173914874760927,-0.00668642179996348,0.00603272007076724,0.0132023185898326,0.00603272007076723,0.0132023185898326,0.00875316112772438,0.0168452152754049,0.00875316112772437,0.0168452152754049,0.0805765836811113,0.187195629741437,0.0805765836811113,0.187195629741437,1,1,1,1,130.73,0.962017894283116,0.962017894283115,0.282191295065357,2000,50000,4,10,"JAGS"
"logit covariate + randomness, multiple covariate",0.0342088591521346,-0.0802552156094677,-0.0342088591521346,0.0802552156094676,0.0492394094487834,-0.105290667418915,-0.0492394094487834,0.105290667418914,0.0519902630808391,0.120449748347383,0.0519902630808391,0.120449748347383,0.0611008198583982,0.13035541891128,0.0611008198583982,0.13035541891128,0.244000656912705,0.596160822837436,0.244000656912705,0.596160822837435,1,1,1,1,293.11,6.92908651555633,6.92908651555633,2.26753045718773,2000,50000,4,10,"JAGS"
"cluster, 2 clusters",-0.0121291115161591,0.0267142882290621,0.0121291115161591,-0.0267142882290621,-0.0154746424466338,0.0223576644741306,0.0154746424466338,-0.0223576644741306,0.053597980057897,0.0112330792040361,0.053597980057897,0.0112330792040361,0.0673214427337653,0.00769530296219155,0.0673214427337655,0.00769530296219154,0.00231947666084886,1.05276661898079e-05,0.00231947666084897,1.05276661897393e-05,0.015625,0,0.015625,0,67.3899999999999,4.05441029272795,4.05441029272795,1.41317430672618,2000,1000,4,10,"JAGS"
"cluster, 3 clusters",-0.0226589045666542,0.0245602266305042,0.0226589045666542,-0.0245602266305042,-0.00184482698904969,0.00075161331521439,0.0018448269890497,-0.000751613315214394,0.0509871742894762,0.0219451778045019,0.0509871742894762,0.0219451778045018,0.0584993984757409,0.0544046551885302,0.0584993984757409,0.0544046551885302,0.00249620224724978,2.51749665363121e-05,0.00249620224724978,2.51749665362634e-05,0.015625,0.015625,0.015625,0.015625,84.54,4.05382438826391,4.05382438826391,1.41856945736152,2000,1000,4,10,"JAGS"
"cluster, 4 clusters",-0.0172285245551837,0.0128555511113964,0.0172285245551837,-0.0128555511113964,-0.00538326404926061,0.0099201797151751,0.00538326404926069,-0.0099201797151751,0.0386751481064559,0.0235702566479654,0.0386751481064559,0.0235702566479654,0.0302430550400519,0.0194081306905084,0.0302430550400518,0.0194081306905084,0.00808183137785706,0.0242126349368514,0.00808183137785723,0.0242126349368514,0.140625,0.25,0.140625,0.25,107.59,2.09147251475971,2.09147251475971,0.476232393432394,2000,1000,4,10,"JAGS"
"covariate, random covariate",-0.0113251602559982,0.0267142843824118,0.0113251602559982,-0.0267142843824118,-0.0103663594783401,0.0223576603546944,0.0103663594783401,-0.0223576603546944,0.00734064585249755,0.0112330804061401,0.00734064585249755,0.0112330804061401,0.00559033495864096,0.00769530486670064,0.00559033495864098,0.00769530486670065,0.0245460944160419,2.44816117433988e-07,0.0245460944160419,2.44816117363432e-07,0.6875,0,0.6875,0,295.78,1.41619960185303,1.41619960185303,0.314458692955491,2000,30000,4,10,"JAGS"
