Model,Execution time,Local MAE,Local MSE,Global MAE,Global MSE,MCMC,Iterations,Burned,Chains,Thinning,BUGS,Noise,Explainability
"logit covariate, no covariate",137.599999999999,0.169733166216238,0.0220700170048697,0.0819582105452655,0.0342649688862532,True,2000,30000,4,10,JAGS,0.167643015674373,0.115606414018006
"logit covariate, with covariate",173.83,0.159714227653449,0.0199467479045057,0.0875456603333018,0.0308105131327587,True,2000,30000,4,10,JAGS,0.167643015674373,0.115606414018006
"covariate, no covariate",215.58,0.181313239165853,0.0194117223971759,0.107919722550857,0.0386153272899623,True,2000,30000,4,10,JAGS,0.167643015674373,0.115606414018006
"covariate, with covariate",346.820000000001,0.241191866513309,0.0288884795558591,0.16762341070818,0.0620898883171843,True,2000,30000,4,10,JAGS,0.167643015674373,0.115606414018006
"logit covariate, no covariate",124.31,0.153985057263843,0.0164959510956661,0.0922436141740304,0.0349577643092904,True,2000,30000,4,10,JAGS,0.17353779128139,0.347057804406145
"logit covariate, with covariate",172.639999999999,0.160475917550865,0.0210830310722581,0.10666384440373,0.0408532131338679,True,2000,30000,4,10,JAGS,0.17353779128139,0.347057804406145
"covariate, no covariate",229.29,0.155955467251708,0.0146769683988312,0.0971884547039416,0.0306531720965173,True,2000,30000,4,10,JAGS,0.17353779128139,0.347057804406145
"covariate, with covariate",397.920000000001,0.175601641172914,0.015334031720062,0.0757781496677976,0.0274249633761609,True,2000,30000,4,10,JAGS,0.17353779128139,0.347057804406145
"logit covariate, no covariate",125.060000000001,0.142807431043827,0.0114931158023164,0.0792419937563142,0.028791188845759,True,2000,30000,4,10,JAGS,0.173216316197027,0.651689401500069
"logit covariate, with covariate",171.469999999999,0.0969745101782757,0.0089588529588466,0.0621997455908845,0.0252006744445058,True,2000,30000,4,10,JAGS,0.173216316197027,0.651689401500069
"covariate, no covariate",200.299999999999,0.230407114507144,0.0201985237902862,0.179729046553793,0.0615101524103007,True,2000,30000,4,10,JAGS,0.173216316197027,0.651689401500069
"covariate, with covariate",369.77,0.158463540839317,0.0139952453708309,0.132366315086528,0.0421366174275514,True,2000,30000,4,10,JAGS,0.173216316197027,0.651689401500069
"logit covariate, no covariate",199.779999999999,0.411837484122972,0.0595695424173577,0.16886209735801,0.0665382586329645,True,2000,30000,4,10,JAGS,0.474357263806925,0.10499260894572
"logit covariate, with covariate",314.610000000001,0.404881192069977,0.058086898995927,0.196650416356977,0.0725683726568388,True,2000,30000,4,10,JAGS,0.474357263806925,0.10499260894572
"covariate, no covariate",427.799999999999,0.426143447511299,0.0553913943051083,0.234636425518091,0.0811985197558486,True,2000,30000,4,10,JAGS,0.474357263806925,0.10499260894572
"covariate, with covariate",63.1899999999987,0.432313539401879,0.058050402481523,0.331458825626498,0.118342369768704,False,2000,30000,4,10,JAGS,0.474357263806925,0.10499260894572
"logit covariate, no covariate",224.66,0.348282648933729,0.0583300930243703,0.143172494038689,0.0661258650814197,True,2000,30000,4,10,JAGS,0.468068282346862,0.45865568479606
"logit covariate, with covariate",318.200000000001,0.335397011236273,0.053886618905857,0.127738698274932,0.0545861176513298,True,2000,30000,4,10,JAGS,0.468068282346862,0.45865568479606
"covariate, no covariate",405.860000000001,0.419154193307205,0.0629848918696647,0.229246747690758,0.0880491239310695,True,2000,30000,4,10,JAGS,0.468068282346862,0.45865568479606
"covariate, with covariate",804.029999999999,0.382423211481519,0.0558080684951701,0.164529724713848,0.0648779990984952,True,2000,30000,4,10,JAGS,0.468068282346862,0.45865568479606
"logit covariate, no covariate",234.5,0.336198850522055,0.0288833128294161,0.136833287938182,0.0529247197246761,True,2000,30000,4,10,JAGS,0.491512058453087,0.67841794865501
"logit covariate, with covariate",308.27,0.196087542606971,0.0199841506616055,0.0590898201724999,0.0220808135327134,True,2000,30000,4,10,JAGS,0.491512058453087,0.67841794865501
"covariate, no covariate",427.079999999998,0.38749940182682,0.0395575056598913,0.207429916280913,0.0699961878001006,True,2000,30000,4,10,JAGS,0.491512058453087,0.67841794865501
"covariate, with covariate",704.989999999998,0.314657843967376,0.0345311173432747,0.299724964622655,0.106791572080586,True,2000,30000,4,10,JAGS,0.491512058453087,0.67841794865501
"logit covariate, no covariate",144.970000000001,0.491412278835553,0.0494059651763946,0.206254023050631,0.0708295874437605,True,2000,30000,4,10,JAGS,0.762700976378098,0.113869438806894
